stop_id,stop_name,stop_lat,stop_lon
822GA00058,St.Stephen's Green,53.33912871,-6.261117488
822GA00062,Harcourt,53.33365091,-6.262691737
822GA00070,Charlemont,53.33061525,-6.258535989
822GA00071,Charlemont,53.3308339,-6.258737285
822GA00074,Ranelagh,53.32613982,-6.25612105
822GA00075,Ranelagh,53.32613194,-6.256196436
822GA00083,Beechwood,53.32092341,-6.254667551
822GA00084,Beechwood,53.32093174,-6.254622178
822GA00275,Cowper,53.31639341,-6.25344152
822GA00276,Cowper,53.31640107,-6.25335115
822GA00278,Milltown,53.30967244,-6.251749984
822GA00279,Milltown,53.30967156,-6.251689992
822GA00356,Kylemore,53.32658896,-6.343763371
822GA00357,Kylemore,53.3266345,-6.343806646
822GA00360,Bluebell,53.32928179,-6.333825003
822GA00361,Bluebell,53.32931856,-6.333883625
822GA00363,Blackhorse,53.33426302,-6.327534513
822GA00364,Blackhorse,53.33429937,-6.327563122
822GA00366,Drimnagh,53.33534619,-6.318272318
822GA00367,Drimnagh,53.33539132,-6.318285559
822GA00369,Goldenbridge,53.33591429,-6.313309638
822GA00370,Goldenbridge,53.33595962,-6.313337881
822GA00372,Suir Road,53.33659218,-6.307231258
822GA00373,Suir Road,53.33663752,-6.307259495
822GA00375,Rialto,53.33789919,-6.297388457
822GA00376,Rialto,53.33794453,-6.297416684
822GA00378,Fatima,53.33841745,-6.292772571
822GA00379,Fatima,53.33846258,-6.292785785
822GA00381,James's,53.34181261,-6.293237662
822GA00382,James's,53.34177775,-6.293314146
822GA00386,Heuston,53.34668128,-6.29178149
822GA00387,Heuston,53.34668236,-6.291856547
822GA00389,Museum,53.34787921,-6.286942065
822GA00390,Museum,53.34791536,-6.286955636
822GA00398,Smithfield,53.3471135,-6.278080805
822GA00399,Smithfield,53.34714965,-6.278094368
822GA00401,Four Courts,53.34685189,-6.273660411
822GA00402,Four Courts,53.3468876,-6.273643948
822GA00404,Jervis,53.34768301,-6.265275464
822GA00405,Jervis,53.34770996,-6.26527437
822GA00408,Abbey Street,53.34856372,-6.258480358
822GA00409,Abbey Street,53.34859089,-6.258494272
822GA00420,Busáras,53.35011665,-6.251582347
822GA00421,Busáras,53.35015192,-6.251535839
822GA00423,Connolly,53.35098349,-6.250014659
822GA00424,Connolly,53.351003,-6.250119012
822GA00427,George's Dock,53.34942861,-6.247569832
822GA00428,George's Dock,53.34947353,-6.24756799
822GA00430,Mayor Square - NCI,53.34916764,-6.243269507
822GA00431,Mayor Square - NCI,53.34920357,-6.243268029
822GA00433,Spencer Dock,53.34878043,-6.237126865
822GA00434,Spencer Dock,53.34882534,-6.237125012
822GA00436,The Point,53.34827635,-6.22918668
822GA00437,The Point,53.34834821,-6.229183701
822GA00440,Harcourt,53.33362462,-6.262737852
822GA00441,Dawson,53.34217478,-6.257974811
822GA00443,Westmoreland,53.34635987,-6.258975733
822GA00444,O'Connell - GPO,53.34884481,-6.259880861
822GA00447,Marlborough,53.34924487,-6.257731582
822GA00448,"Trinity College, Trinity",53.34527975,-6.258253746
822GA00452,Grangegorman,53.35719648,-6.277343774
822GA00455,Phibsborough,53.36037351,-6.278883375
822GA00459,Broombridge,53.37223781,-6.29768727
823GA00338,Cookstown,53.29329316,-6.384084795
823GA00339,Cookstown,53.29325763,-6.384116138
