Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20)
60010P,Loreto Secondary School,Brick Lane,Balbriggan,Co Dublin,,Dublin,Fingal County Council,K32R248,MS. ANN M MCDONOUGH,office@loretobalbriggan.ie,18411594,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,"1,282",0,"1,282"
60021U,St Marys Secondary School,Baldoyle,Baldoyle,,,Dublin,Fingal County Council,D13W208,MS. EDEL GREENE,info@stmarysbaldoyle.org,18325591,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,274,0,274
60030V,Blackrock College,Blackrock College,Blackrock,,,Dublin,Dun Laoghaire Rathdown,A94FK84,MR. ALAN T MAC GINTY,amacginty@blackrockcollege.com,12888681,N,N,N,Y,Mixed,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,"1,024","1,024"
60040B,Willow Park School,Rock Road,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94TW98,MR. ALAN JAMES THOMAS ROGAN,arogan@willowparkschool.ie,12881651,N,N,N,Y,Mixed,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,207,207
60041D,Coláiste Eoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co. Átha Cliath,,Dublin,Dun Laoghaire Rathdown,A94E122,MR. P.S DE POIRE,ce@eoiniosagain.ie,12884002,N,N,N,N,Day,Boys,All pupils taught all subjects through Irish,Secondary,CATHOLIC,0,496,496
60042F,Coláiste Íosagáin,Bóthar Stigh Lorgan,Baile an Bhóthair,An Charraig Dhubh,Co Átha Cliath,Dublin,Dun Laoghaire Rathdown,A94KV12,MR. SEAN DELAP,eolas@eoiniosgain.ie,12884028,N,N,N,N,Day,Girls,All pupils taught all subjects through Irish,Secondary,CATHOLIC,485,0,485
60050E,Oatlands College,Mount Merrion,Co Dublin,,,Dublin,Dun Laoghaire Rathdown,A94HX38,MS. CAROLINE GARRETT,admin@oatlands.net,12888533,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,545,545
60070K,Dominican College,Dominican College Sion Hill,Cross Avenue,Blackrock,Co Dublin,Dublin,Dun Laoghaire Rathdown,A94TP97,MISS SHEILA DRUM,admin@sionhillcollege.ie,12886791,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,437,0,437
60081P,Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94H294,MR. JOHN (TONY) COLLISON,info@rockfordmanor.ie,01 2801522,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,277,0,277
60090Q,Rathdown School,Upper Glenageary Road,Glenageary,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,A96NX44,MR. BRIAN MOORE,admin@rathdownschool.ie,12853133,N,N,N,Y,Mixed,Girls,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,263,0,263
60092U,Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A94P206,MR. EDWARD MELLY,reception@clonkeencollege.ie,12892709,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,575,575
60100Q,Castleknock College,College Rd,Castleknock,Dublin 15,,Dublin,Fingal County Council,D15PD95,MR. CHRISTOPHER WILLIAM KINDER,admissions@castleknockcollege.ie,18213051,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,701,701
60120W,Mount Sackville Secondary School,Tower Road,"Chapelizod,",Dublin 20,,Dublin,Fingal County Council,D20WP68,MRS. EILEEN HIGGINS,info@mountsackville.ie,18213317,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,656,0,656
60121B,Moyle Park College,Clondalkin,Ballymanaggin,,,Dublin,South Dublin County Council,D22V072,MS. NIAMH CAHALANE,info@moyleparkcollege.com,14574837,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,738,738
60122D,Coláiste Bríde,New Road,Clondalkin,Dublin 22,,Dublin,South Dublin County Council,D22C6Y2,MISS MARIE THERESE KILMARTIN,info@colaistebride.com,14591158,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,959,0,959
60130C,Loreto Abbey Secondary School,Dalkey,Co Dublin,,,Dublin,Dun Laoghaire Rathdown,A96YC81,MR. ROBERT DUNNE,office@loretoabbeydalkey.ie,12718900,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,653,0,653
60140F,Mount Anville Secondary School,Mount Anville Road,Churchtown ,,,Dublin,Dun Laoghaire Rathdown,D14A8P3,MISS MARY CAFFREY,office@mountanville.ie,12885313,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,698,0,698
60180R,Christian Brothers College,Monkstown Park,Dun Laoghaire,Co Dublin,,Dublin,Dun Laoghaire Rathdown,A96TF64,MR. GERARD DUFFY,office@cbcmonkstown.ie,12805854,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,515,515
60240J,Loreto College Foxrock,Springfield Park,Foxrock,Dublin 18,,Dublin,Dun Laoghaire Rathdown,D18FT21,MRS. BERNADETTE PRENDIVILLE,admin@loretofoxrock.ie,12895637,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,519,0,519
60250M,Holy Child Secondary School,Military Road,Killiney,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,A96XP82,MS. CAROLINE MARY O'BRIEN,admin@holychildkilliney.ie,12823120,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,352,0,352
60260P,St Joseph Of Cluny Secondary School,Ballinclea Road,Killiney,Co. Dublin,,Dublin,Dun Laoghaire Rathdown,A96DK13,MR. BENEDICT GERARD HEALY,office@clunykilliney.ie,12855027,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,252,0,252
60261R,St Benildus College,Upper Kilmacud Rd,Stillorgan,Blackrock,Co Dublin,Dublin,Dun Laoghaire Rathdown,A94X886,MRS. MARY P BROHAN,stbenildusoffice@stbenilduscollege.com,12986539,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,807,807
60262T,St Laurence College,Loughlinstown,Dublin 18,,,Dublin,Dun Laoghaire Rathdown,D18AK07,MR. WILLIAM REDMOND,info@stlaurencecollege.com,12826930,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,141,117,258
60263V,St Josephs College,Lucan,Co Dublin,,,Dublin,South Dublin County Council,K78VW74,MS. BERNADETTE FITZGERALD,stjosephslucan@gmail.com,16281160,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,884,0,884
60264A,Coláiste Phádraig CBS,Roselawn,Lucan,Co. Dublin,,Dublin,South Dublin County Council,K78E927,MR. ANTHONY J BRADY,admin@colaistephadraig.com,16282299,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,538,538
60272W,The Kings Hospital,Palmerstown,Dublin 20,,,Dublin,South Dublin County Council,D20V256,MR. MARK RONAN,headmaster@thekingshospital.ie,16436500,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,333,377,710
60290B,St Pauls College,Sybil Hill,Raheny,Dublin,,Dublin,Dublin City Council,D05C673,MR. ML.A. BEHAN,admin@stpaulscollege.ie,18314011,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,0,591,591
