Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total
00697S,ST BRIGIDS MXD N S,Beechpark Lawn,Castleknock,Dublin 15,,Dublin,Fingal County Council,18214040,Denis Courtney,principal@saintbrigids.ie,D15P820,N,N,N,No subjects through Irish,Catholic,447,502,949
00714P,LUCAN B N S,Chapel Hill,Lucan,Dublin,,Dublin,South Dublin County Council,16281857,Dara Burke,info@stmarysbnslucan.com,K78YD27,N,N,N,No subjects through Irish,Catholic,0,513,513
00729F,CLOCHAR LORETO N S,Grange Road,Rathfarnham,Dublin 14,,Dublin,South Dublin County Council,14931640,Sr. Maria Hyland,info@loretograngeroad.ie,D14YY28,N,N,N,No subjects through Irish,Catholic,501,0,501
00752A,CENTRAL SENIOR MXD N S,Marlborough Street,City Centre,Dublin1,,Dublin,Dublin City Council,18788103,Deirdre Gartland,modesenmix@eircom.net,D01P027,N,Y,N,No subjects through Irish,Catholic,133,143,276
01170G,S N NA H-AILLE,Westown,Naul,Dublin,,Dublin,Fingal County Council,18413821,Edel McMahon,naulns@eircom.net,K32PX40,N,N,N,No subjects through Irish,Catholic,67,72,139
01795A,CENTRAL INFS SCHOOL,Marlborough Street,City Centre,Dublin1,,Dublin,Dublin City Council,18788344,Catherine Groves,info@centralmodelinfantschool.ie,D01ER24,N,Y,N,No subjects through Irish,Catholic,84,77,161
02872U,St. Mary's National School,Lamb's Cross,Sandyford,Dublin 18,,Dublin,Dun Laoghaire Rathdown,12954173,Fergus Lyons,saintmarys@eircom.net,D18XV90,N,N,N,No subjects through Irish,Catholic,124,141,265
03359N,BALLYROAN B N S,Ballyroan Road,Rathfarnham,Dublin 16,,Dublin,South Dublin County Council,14931805,Desmond Morris,secretary@ballyroanbns.ie,D16YX54,N,N,N,No subjects through Irish,Catholic,0,401,401
03917V,NAOMH PADRAIG BOYS,Cambridge Road,Ringsend,Dublin 4,,Dublin,Dublin City Council,16606825,Ian Lane,ringsendbns@gmail.com,D04AP98,N,Y,N,No subjects through Irish,Catholic,0,137,137
04992R,SCOIL AN CROI NAOFA,St Canice's Road,Ballygall,Dublin 11,,Dublin,Dublin City Council,18379586,Dermot Murphy,shbns1ballygall@gmail.com,D11XE17,N,N,N,No subjects through Irish,Catholic,0,457,457
