"Statistic","Year","Garda Station","Type of Offence","UNIT","VALUE"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Attempts/threats to murder, assaults, harassments and related offences","Number","118"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Dangerous or negligent acts","Number","51"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Kidnapping and related offences","Number","3"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Robbery, extortion and hijacking offences","Number","18"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Burglary and related offences","Number","141"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Theft and related offences","Number","412"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Fraud, deception and related offences","Number","66"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Controlled drug offences","Number","58"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Weapons and Explosives Offences","Number","12"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Damage to property and to the environment","Number","241"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Public order and other social code offences","Number","109"
"Recorded Crime Offences Under Reservation","2017","63101 Balbriggan, D.M.R. Northern Division","Offences against government, justice procedures and organisation of crime","Number","84"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Attempts/threats to murder, assaults, harassments and related offences","Number","74"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Dangerous or negligent acts","Number","54"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Kidnapping and related offences","Number","0"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Robbery, extortion and hijacking offences","Number","33"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Burglary and related offences","Number","90"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Theft and related offences","Number","493"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Fraud, deception and related offences","Number","38"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Controlled drug offences","Number","228"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Weapons and Explosives Offences","Number","30"
"Recorded Crime Offences Under Reservation","2017","66201 Ballyfermot, D.M.R. Western Division","Damage to property and to the environment","Number","227"
