,Garda Station
0,"63101 Balbriggan, D.M.R. Northern Division"
1,"63101 Balbriggan, D.M.R. Northern Division"
2,"63101 Balbriggan, D.M.R. Northern Division"
3,"63101 Balbriggan, D.M.R. Northern Division"
4,"63101 Balbriggan, D.M.R. Northern Division"
5,"63101 Balbriggan, D.M.R. Northern Division"
6,"63101 Balbriggan, D.M.R. Northern Division"
7,"63101 Balbriggan, D.M.R. Northern Division"
8,"63101 Balbriggan, D.M.R. Northern Division"
9,"63101 Balbriggan, D.M.R. Northern Division"
10,"63101 Balbriggan, D.M.R. Northern Division"
11,"63101 Balbriggan, D.M.R. Northern Division"
12,"66201 Ballyfermot, D.M.R. Western Division"
13,"66201 Ballyfermot, D.M.R. Western Division"
14,"66201 Ballyfermot, D.M.R. Western Division"
15,"66201 Ballyfermot, D.M.R. Western Division"
16,"66201 Ballyfermot, D.M.R. Western Division"
17,"66201 Ballyfermot, D.M.R. Western Division"
18,"66201 Ballyfermot, D.M.R. Western Division"
19,"66201 Ballyfermot, D.M.R. Western Division"
20,"66201 Ballyfermot, D.M.R. Western Division"
21,"66201 Ballyfermot, D.M.R. Western Division"
22,"66201 Ballyfermot, D.M.R. Western Division"
23,"66201 Ballyfermot, D.M.R. Western Division"
24,"63201 Ballymun, D.M.R. Northern Division"
25,"63201 Ballymun, D.M.R. Northern Division"
26,"63201 Ballymun, D.M.R. Northern Division"
27,"63201 Ballymun, D.M.R. Northern Division"
28,"63201 Ballymun, D.M.R. Northern Division"
29,"63201 Ballymun, D.M.R. Northern Division"
30,"63201 Ballymun, D.M.R. Northern Division"
31,"63201 Ballymun, D.M.R. Northern Division"
32,"63201 Ballymun, D.M.R. Northern Division"
33,"63201 Ballymun, D.M.R. Northern Division"
34,"63201 Ballymun, D.M.R. Northern Division"
35,"63201 Ballymun, D.M.R. Northern Division"
36,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
37,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
38,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
39,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
40,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
41,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
42,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
43,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
44,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
45,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
46,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
47,"65101 Blackrock, Co Dublin, D.M.R. Eastern Division"
48,"66101 Blanchardstown, D.M.R. Western Division"
49,"66101 Blanchardstown, D.M.R. Western Division"
50,"66101 Blanchardstown, D.M.R. Western Division"
51,"66101 Blanchardstown, D.M.R. Western Division"
52,"66101 Blanchardstown, D.M.R. Western Division"
53,"66101 Blanchardstown, D.M.R. Western Division"
54,"66101 Blanchardstown, D.M.R. Western Division"
55,"66101 Blanchardstown, D.M.R. Western Division"
56,"66101 Blanchardstown, D.M.R. Western Division"
57,"66101 Blanchardstown, D.M.R. Western Division"
58,"66101 Blanchardstown, D.M.R. Western Division"
59,"66101 Blanchardstown, D.M.R. Western Division"
60,"62101 Bridewell Dublin, D.M.R. North Central Division"
61,"62101 Bridewell Dublin, D.M.R. North Central Division"
62,"62101 Bridewell Dublin, D.M.R. North Central Division"
63,"62101 Bridewell Dublin, D.M.R. North Central Division"
64,"62101 Bridewell Dublin, D.M.R. North Central Division"
65,"62101 Bridewell Dublin, D.M.R. North Central Division"
66,"62101 Bridewell Dublin, D.M.R. North Central Division"
67,"62101 Bridewell Dublin, D.M.R. North Central Division"
68,"62101 Bridewell Dublin, D.M.R. North Central Division"
69,"62101 Bridewell Dublin, D.M.R. North Central Division"
70,"62101 Bridewell Dublin, D.M.R. North Central Division"
71,"62101 Bridewell Dublin, D.M.R. North Central Division"
72,"65201 Cabinteely, D.M.R. Eastern Division"
73,"65201 Cabinteely, D.M.R. Eastern Division"
74,"65201 Cabinteely, D.M.R. Eastern Division"
75,"65201 Cabinteely, D.M.R. Eastern Division"
76,"65201 Cabinteely, D.M.R. Eastern Division"
77,"65201 Cabinteely, D.M.R. Eastern Division"
78,"65201 Cabinteely, D.M.R. Eastern Division"
79,"65201 Cabinteely, D.M.R. Eastern Division"
80,"65201 Cabinteely, D.M.R. Eastern Division"
81,"65201 Cabinteely, D.M.R. Eastern Division"
82,"65201 Cabinteely, D.M.R. Eastern Division"
83,"65201 Cabinteely, D.M.R. Eastern Division"
84,"66102 Cabra, D.M.R. Western Division"
85,"66102 Cabra, D.M.R. Western Division"
86,"66102 Cabra, D.M.R. Western Division"
87,"66102 Cabra, D.M.R. Western Division"
88,"66102 Cabra, D.M.R. Western Division"
89,"66102 Cabra, D.M.R. Western Division"
90,"66102 Cabra, D.M.R. Western Division"
91,"66102 Cabra, D.M.R. Western Division"
92,"66102 Cabra, D.M.R. Western Division"
93,"66102 Cabra, D.M.R. Western Division"
94,"66102 Cabra, D.M.R. Western Division"
95,"66102 Cabra, D.M.R. Western Division"
96,"66202 Clondalkin, D.M.R. Western Division"
97,"66202 Clondalkin, D.M.R. Western Division"
98,"66202 Clondalkin, D.M.R. Western Division"
99,"66202 Clondalkin, D.M.R. Western Division"
100,"66202 Clondalkin, D.M.R. Western Division"
101,"66202 Clondalkin, D.M.R. Western Division"
102,"66202 Clondalkin, D.M.R. Western Division"
103,"66202 Clondalkin, D.M.R. Western Division"
104,"66202 Clondalkin, D.M.R. Western Division"
105,"66202 Clondalkin, D.M.R. Western Division"
106,"66202 Clondalkin, D.M.R. Western Division"
107,"66202 Clondalkin, D.M.R. Western Division"
108,"63401 Clontarf, D.M.R. Northern Division"
109,"63401 Clontarf, D.M.R. Northern Division"
110,"63401 Clontarf, D.M.R. Northern Division"
111,"63401 Clontarf, D.M.R. Northern Division"
112,"63401 Clontarf, D.M.R. Northern Division"
113,"63401 Clontarf, D.M.R. Northern Division"
114,"63401 Clontarf, D.M.R. Northern Division"
115,"63401 Clontarf, D.M.R. Northern Division"
116,"63401 Clontarf, D.M.R. Northern Division"
117,"63401 Clontarf, D.M.R. Northern Division"
118,"63401 Clontarf, D.M.R. Northern Division"
119,"63401 Clontarf, D.M.R. Northern Division"
120,"63301 Coolock, D.M.R. Northern Division"
121,"63301 Coolock, D.M.R. Northern Division"
122,"63301 Coolock, D.M.R. Northern Division"
123,"63301 Coolock, D.M.R. Northern Division"
124,"63301 Coolock, D.M.R. Northern Division"
125,"63301 Coolock, D.M.R. Northern Division"
126,"63301 Coolock, D.M.R. Northern Division"
127,"63301 Coolock, D.M.R. Northern Division"
128,"63301 Coolock, D.M.R. Northern Division"
129,"63301 Coolock, D.M.R. Northern Division"
130,"63301 Coolock, D.M.R. Northern Division"
131,"63301 Coolock, D.M.R. Northern Division"
132,"64101 Crumlin, D.M.R. Southern Division"
133,"64101 Crumlin, D.M.R. Southern Division"
134,"64101 Crumlin, D.M.R. Southern Division"
135,"64101 Crumlin, D.M.R. Southern Division"
136,"64101 Crumlin, D.M.R. Southern Division"
137,"64101 Crumlin, D.M.R. Southern Division"
138,"64101 Crumlin, D.M.R. Southern Division"
139,"64101 Crumlin, D.M.R. Southern Division"
140,"64101 Crumlin, D.M.R. Southern Division"
141,"64101 Crumlin, D.M.R. Southern Division"
142,"64101 Crumlin, D.M.R. Southern Division"
143,"64101 Crumlin, D.M.R. Southern Division"
144,"61101 Donnybrook, D.M.R. South Central Division"
145,"61101 Donnybrook, D.M.R. South Central Division"
146,"61101 Donnybrook, D.M.R. South Central Division"
147,"61101 Donnybrook, D.M.R. South Central Division"
148,"61101 Donnybrook, D.M.R. South Central Division"
149,"61101 Donnybrook, D.M.R. South Central Division"
150,"61101 Donnybrook, D.M.R. South Central Division"
151,"61101 Donnybrook, D.M.R. South Central Division"
152,"61101 Donnybrook, D.M.R. South Central Division"
153,"61101 Donnybrook, D.M.R. South Central Division"
154,"61101 Donnybrook, D.M.R. South Central Division"
155,"61101 Donnybrook, D.M.R. South Central Division"
156,"63202 Dublin Airport, D.M.R. Northern Division"
157,"63202 Dublin Airport, D.M.R. Northern Division"
158,"63202 Dublin Airport, D.M.R. Northern Division"
159,"63202 Dublin Airport, D.M.R. Northern Division"
160,"63202 Dublin Airport, D.M.R. Northern Division"
161,"63202 Dublin Airport, D.M.R. Northern Division"
162,"63202 Dublin Airport, D.M.R. Northern Division"
163,"63202 Dublin Airport, D.M.R. Northern Division"
164,"63202 Dublin Airport, D.M.R. Northern Division"
165,"63202 Dublin Airport, D.M.R. Northern Division"
166,"63202 Dublin Airport, D.M.R. Northern Division"
167,"63202 Dublin Airport, D.M.R. Northern Division"
168,"65203 Dun Laoghaire, D.M.R. Eastern Division"
169,"65203 Dun Laoghaire, D.M.R. Eastern Division"
170,"65203 Dun Laoghaire, D.M.R. Eastern Division"
171,"65203 Dun Laoghaire, D.M.R. Eastern Division"
172,"65203 Dun Laoghaire, D.M.R. Eastern Division"
173,"65203 Dun Laoghaire, D.M.R. Eastern Division"
174,"65203 Dun Laoghaire, D.M.R. Eastern Division"
175,"65203 Dun Laoghaire, D.M.R. Eastern Division"
176,"65203 Dun Laoghaire, D.M.R. Eastern Division"
177,"65203 Dun Laoghaire, D.M.R. Eastern Division"
178,"65203 Dun Laoghaire, D.M.R. Eastern Division"
179,"65203 Dun Laoghaire, D.M.R. Eastern Division"
180,"65102 Dundrum, D.M.R. Eastern Division"
181,"65102 Dundrum, D.M.R. Eastern Division"
182,"65102 Dundrum, D.M.R. Eastern Division"
183,"65102 Dundrum, D.M.R. Eastern Division"
184,"65102 Dundrum, D.M.R. Eastern Division"
185,"65102 Dundrum, D.M.R. Eastern Division"
186,"65102 Dundrum, D.M.R. Eastern Division"
187,"65102 Dundrum, D.M.R. Eastern Division"
188,"65102 Dundrum, D.M.R. Eastern Division"
189,"65102 Dundrum, D.M.R. Eastern Division"
190,"65102 Dundrum, D.M.R. Eastern Division"
191,"65102 Dundrum, D.M.R. Eastern Division"
192,"66103 Finglas, D.M.R. Western Division"
193,"66103 Finglas, D.M.R. Western Division"
194,"66103 Finglas, D.M.R. Western Division"
195,"66103 Finglas, D.M.R. Western Division"
196,"66103 Finglas, D.M.R. Western Division"
197,"66103 Finglas, D.M.R. Western Division"
198,"66103 Finglas, D.M.R. Western Division"
199,"66103 Finglas, D.M.R. Western Division"
200,"66103 Finglas, D.M.R. Western Division"
201,"66103 Finglas, D.M.R. Western Division"
202,"66103 Finglas, D.M.R. Western Division"
203,"66103 Finglas, D.M.R. Western Division"
204,"62202 Fitzgibbon Street, D.M.R. North Central Division"
205,"62202 Fitzgibbon Street, D.M.R. North Central Division"
206,"62202 Fitzgibbon Street, D.M.R. North Central Division"
207,"62202 Fitzgibbon Street, D.M.R. North Central Division"
208,"62202 Fitzgibbon Street, D.M.R. North Central Division"
209,"62202 Fitzgibbon Street, D.M.R. North Central Division"
210,"62202 Fitzgibbon Street, D.M.R. North Central Division"
211,"62202 Fitzgibbon Street, D.M.R. North Central Division"
212,"62202 Fitzgibbon Street, D.M.R. North Central Division"
213,"62202 Fitzgibbon Street, D.M.R. North Central Division"
214,"62202 Fitzgibbon Street, D.M.R. North Central Division"
215,"62202 Fitzgibbon Street, D.M.R. North Central Division"
216,"63102 Garristown, D.M.R. Northern Division"
217,"63102 Garristown, D.M.R. Northern Division"
218,"63102 Garristown, D.M.R. Northern Division"
219,"63102 Garristown, D.M.R. Northern Division"
220,"63102 Garristown, D.M.R. Northern Division"
221,"63102 Garristown, D.M.R. Northern Division"
222,"63102 Garristown, D.M.R. Northern Division"
223,"63102 Garristown, D.M.R. Northern Division"
224,"63102 Garristown, D.M.R. Northern Division"
225,"63102 Garristown, D.M.R. Northern Division"
226,"63102 Garristown, D.M.R. Northern Division"
227,"63102 Garristown, D.M.R. Northern Division"
228,"63402 Howth, D.M.R. Northern Division"
229,"63402 Howth, D.M.R. Northern Division"
230,"63402 Howth, D.M.R. Northern Division"
231,"63402 Howth, D.M.R. Northern Division"
232,"63402 Howth, D.M.R. Northern Division"
233,"63402 Howth, D.M.R. Northern Division"
234,"63402 Howth, D.M.R. Northern Division"
235,"63402 Howth, D.M.R. Northern Division"
236,"63402 Howth, D.M.R. Northern Division"
237,"63402 Howth, D.M.R. Northern Division"
238,"63402 Howth, D.M.R. Northern Division"
239,"63402 Howth, D.M.R. Northern Division"
240,"61102 Irishtown, D.M.R. South Central Division"
241,"61102 Irishtown, D.M.R. South Central Division"
242,"61102 Irishtown, D.M.R. South Central Division"
243,"61102 Irishtown, D.M.R. South Central Division"
244,"61102 Irishtown, D.M.R. South Central Division"
245,"61102 Irishtown, D.M.R. South Central Division"
246,"61102 Irishtown, D.M.R. South Central Division"
247,"61102 Irishtown, D.M.R. South Central Division"
248,"61102 Irishtown, D.M.R. South Central Division"
249,"61102 Irishtown, D.M.R. South Central Division"
250,"61102 Irishtown, D.M.R. South Central Division"
251,"61102 Irishtown, D.M.R. South Central Division"
252,"61301 Kevin Street, D.M.R. South Central Division"
253,"61301 Kevin Street, D.M.R. South Central Division"
254,"61301 Kevin Street, D.M.R. South Central Division"
255,"61301 Kevin Street, D.M.R. South Central Division"
256,"61301 Kevin Street, D.M.R. South Central Division"
257,"61301 Kevin Street, D.M.R. South Central Division"
258,"61301 Kevin Street, D.M.R. South Central Division"
259,"61301 Kevin Street, D.M.R. South Central Division"
260,"61301 Kevin Street, D.M.R. South Central Division"
261,"61301 Kevin Street, D.M.R. South Central Division"
262,"61301 Kevin Street, D.M.R. South Central Division"
263,"61301 Kevin Street, D.M.R. South Central Division"
264,"61302 Kilmainham, D.M.R. South Central Division"
265,"61302 Kilmainham, D.M.R. South Central Division"
266,"61302 Kilmainham, D.M.R. South Central Division"
267,"61302 Kilmainham, D.M.R. South Central Division"
268,"61302 Kilmainham, D.M.R. South Central Division"
269,"61302 Kilmainham, D.M.R. South Central Division"
270,"61302 Kilmainham, D.M.R. South Central Division"
271,"61302 Kilmainham, D.M.R. South Central Division"
272,"61302 Kilmainham, D.M.R. South Central Division"
273,"61302 Kilmainham, D.M.R. South Central Division"
274,"61302 Kilmainham, D.M.R. South Central Division"
275,"61302 Kilmainham, D.M.R. South Central Division"
276,"66301 Lucan, D.M.R. Western Division"
277,"66301 Lucan, D.M.R. Western Division"
278,"66301 Lucan, D.M.R. Western Division"
279,"66301 Lucan, D.M.R. Western Division"
280,"66301 Lucan, D.M.R. Western Division"
281,"66301 Lucan, D.M.R. Western Division"
282,"66301 Lucan, D.M.R. Western Division"
283,"66301 Lucan, D.M.R. Western Division"
284,"66301 Lucan, D.M.R. Western Division"
285,"66301 Lucan, D.M.R. Western Division"
286,"66301 Lucan, D.M.R. Western Division"
287,"66301 Lucan, D.M.R. Western Division"
288,"63103 Lusk, D.M.R. Northern Division"
289,"63103 Lusk, D.M.R. Northern Division"
290,"63103 Lusk, D.M.R. Northern Division"
291,"63103 Lusk, D.M.R. Northern Division"
292,"63103 Lusk, D.M.R. Northern Division"
293,"63103 Lusk, D.M.R. Northern Division"
294,"63103 Lusk, D.M.R. Northern Division"
295,"63103 Lusk, D.M.R. Northern Division"
296,"63103 Lusk, D.M.R. Northern Division"
297,"63103 Lusk, D.M.R. Northern Division"
298,"63103 Lusk, D.M.R. Northern Division"
299,"63103 Lusk, D.M.R. Northern Division"
300,"63302 Malahide, D.M.R. Northern Division"
301,"63302 Malahide, D.M.R. Northern Division"
302,"63302 Malahide, D.M.R. Northern Division"
303,"63302 Malahide, D.M.R. Northern Division"
304,"63302 Malahide, D.M.R. Northern Division"
305,"63302 Malahide, D.M.R. Northern Division"
306,"63302 Malahide, D.M.R. Northern Division"
307,"63302 Malahide, D.M.R. Northern Division"
308,"63302 Malahide, D.M.R. Northern Division"
309,"63302 Malahide, D.M.R. Northern Division"
310,"63302 Malahide, D.M.R. Northern Division"
311,"63302 Malahide, D.M.R. Northern Division"
312,"62203 Mountjoy, D.M.R. North Central Division"
313,"62203 Mountjoy, D.M.R. North Central Division"
314,"62203 Mountjoy, D.M.R. North Central Division"
315,"62203 Mountjoy, D.M.R. North Central Division"
316,"62203 Mountjoy, D.M.R. North Central Division"
317,"62203 Mountjoy, D.M.R. North Central Division"
318,"62203 Mountjoy, D.M.R. North Central Division"
319,"62203 Mountjoy, D.M.R. North Central Division"
320,"62203 Mountjoy, D.M.R. North Central Division"
321,"62203 Mountjoy, D.M.R. North Central Division"
322,"62203 Mountjoy, D.M.R. North Central Division"
323,"62203 Mountjoy, D.M.R. North Central Division"
324,"61202 Pearse Street, D.M.R. South Central Division"
325,"61202 Pearse Street, D.M.R. South Central Division"
326,"61202 Pearse Street, D.M.R. South Central Division"
327,"61202 Pearse Street, D.M.R. South Central Division"
328,"61202 Pearse Street, D.M.R. South Central Division"
329,"61202 Pearse Street, D.M.R. South Central Division"
330,"61202 Pearse Street, D.M.R. South Central Division"
331,"61202 Pearse Street, D.M.R. South Central Division"
332,"61202 Pearse Street, D.M.R. South Central Division"
333,"61202 Pearse Street, D.M.R. South Central Division"
334,"61202 Pearse Street, D.M.R. South Central Division"
335,"61202 Pearse Street, D.M.R. South Central Division"
336,"63403 Raheny, D.M.R. Northern Division"
337,"63403 Raheny, D.M.R. Northern Division"
338,"63403 Raheny, D.M.R. Northern Division"
339,"63403 Raheny, D.M.R. Northern Division"
340,"63403 Raheny, D.M.R. Northern Division"
341,"63403 Raheny, D.M.R. Northern Division"
342,"63403 Raheny, D.M.R. Northern Division"
343,"63403 Raheny, D.M.R. Northern Division"
344,"63403 Raheny, D.M.R. Northern Division"
345,"63403 Raheny, D.M.R. Northern Division"
346,"63403 Raheny, D.M.R. Northern Division"
347,"63403 Raheny, D.M.R. Northern Division"
348,"66203 Rathcoole, D.M.R. Western Division"
349,"66203 Rathcoole, D.M.R. Western Division"
350,"66203 Rathcoole, D.M.R. Western Division"
351,"66203 Rathcoole, D.M.R. Western Division"
352,"66203 Rathcoole, D.M.R. Western Division"
353,"66203 Rathcoole, D.M.R. Western Division"
354,"66203 Rathcoole, D.M.R. Western Division"
355,"66203 Rathcoole, D.M.R. Western Division"
356,"66203 Rathcoole, D.M.R. Western Division"
357,"66203 Rathcoole, D.M.R. Western Division"
358,"66203 Rathcoole, D.M.R. Western Division"
359,"66203 Rathcoole, D.M.R. Western Division"
360,"64201 Rathfarnham, D.M.R. Southern Division"
361,"64201 Rathfarnham, D.M.R. Southern Division"
362,"64201 Rathfarnham, D.M.R. Southern Division"
363,"64201 Rathfarnham, D.M.R. Southern Division"
364,"64201 Rathfarnham, D.M.R. Southern Division"
365,"64201 Rathfarnham, D.M.R. Southern Division"
366,"64201 Rathfarnham, D.M.R. Southern Division"
367,"64201 Rathfarnham, D.M.R. Southern Division"
368,"64201 Rathfarnham, D.M.R. Southern Division"
369,"64201 Rathfarnham, D.M.R. Southern Division"
370,"64201 Rathfarnham, D.M.R. Southern Division"
371,"64201 Rathfarnham, D.M.R. Southern Division"
372,"64301 Rathmines, D.M.R. Southern Division"
373,"64301 Rathmines, D.M.R. Southern Division"
