Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"01/01/2019","2 LEIX RD, CABRA, DUBLIN 7","Dublin 7","Dublin","€30,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2019","2 WOODALE VIEW, BALLYCULLEN, FIRHOUSE DUBLIN 24","Dublin 24","Dublin","€30,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"01/01/2019","APT 50, EARLSFIELD COURT, FRANCIS ST DUBLIN 8","Dublin 8","Dublin","€15,000.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","3 Somerton Copse, Lucan","","Dublin","€290,750.00","No","Yes","New Dwelling house /Apartment",""
"02/01/2019","31 ALL SAINTS PARK, RAHENY, DUBLIN 5","Dublin 5","Dublin","€460,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","40 THE COURTYARD, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€221,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","407 CASEMENT RD, FINGLAS WEST, DUBLIN 11","Dublin 11","Dublin","€265,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"02/01/2019","CRIMAND, ESKER LANE, BALLYDOWD","","Dublin","€535,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","1 Ardilaun Court, Sybil Hill Road, Raheny","Dublin 5","Dublin","€414,097.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","15 ALMA RD, MONKSTOWN, DUBLIN","","Dublin","€2,500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","2 Rahillion Park, Donabate","","Dublin","€383,259.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","22 Rathbourne Square, Ashtown, Dublin 15","Dublin 15","Dublin","€335,000.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","22 Somerton Copse, Lucan","","Dublin","€308,369.81","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","23 ASHFORD ST, DUBLIN 7, DUBLIN","Dublin 7","Dublin","€283,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","23 LATCHFORD GREEN, CASTAHEANY, DUBLIN 15","Dublin 15","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","23 SARSFIELD PARK, LUCAN, DUBLIN","","Dublin","€327,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","26 MILLERS AVENUE, MILLERS GLEN, SWORDS","","Dublin","€293,111.00","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","36 GEORGIAN HAMLET, BALDOYLE, DUBLIN 13","Dublin 13","Dublin","€340,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","37 EARLSFORT AVE, LUCAN, DUBLIN","","Dublin","€276,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","44 Beechwood Gate, Beechwood, Hansfield","Dublin 15","Dublin","€318,722.47","No","Yes","New Dwelling house /Apartment",""
"03/01/2019","51 CEDAR SQ, THE CEDARS, RIDGEWOOD","","Dublin","€279,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","62 SOUTHGATE APTS, CORK ST, DUBLIN 8","Dublin 8","Dublin","€225,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","69 CARLINGFORD RD, DRUMCONDRA, DUBLIN 9","Dublin 9","Dublin","€470,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"03/01/2019","Apartment 1, 17 The Meadow, Robswall","","Dublin","€346,667.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","1 THE BRIDGE, MAIN ST, SHANKILL DUBLIN 18","Dublin 18","Dublin","€285,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","11 CORRYBEG, TEMPLEOGUE BRIDGE, DUBLIN 6W","","Dublin","€1,325,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","125 GLASNEVIN AVE, DUBLIN 11, DUBLIN","Dublin 11","Dublin","€425,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","13 INGLEWOOD CLOSE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€200,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","14 Millers Avenue, Millers Glen, Swords","","Dublin","€306,309.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","14 waterside green, waterside, swords road","","Dublin","€308,282.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","15 GLENAMUCK COTTAGES, CARRICKMINES, DUBLIN 18","Dublin 18","Dublin","€440,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","169 CROSBIES YARD, OSSORY RD, EAST WALL DUBLIN 3","Dublin 3","Dublin","€302,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","17 Fairway Drive, Cualanor, Upper Glenageary Road","","Dublin","€713,656.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","17 TALBOT RD, MALAHIDE, DUBLIN","","Dublin","€480,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","18 BROWNSBARN ORCHARD, KINGSWOOD CROSS, CITYWEST DUBLIN 22","Dublin 22","Dublin","€310,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","18 Somerton Copse, Newcastle Road, Lucan","","Dublin","€308,370.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","23 Diswellstown Court, Castleknock","","Dublin","€436,123.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","27 CARDY ROCK AVE, CARDY ROCK, BALBRIGGAN","","Dublin","€235,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","27 Parkside Gardens, Balgriffin, Dublin 13","","Dublin","€251,100.00","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","33 Royal Canal Avenue, Royal Canal Park, Rathoath Road","","Dublin","€475,770.92","No","Yes","New Dwelling house /Apartment",""
"04/01/2019","36 SELSKAR AVENUE, SKERRIES, CO DUBLIN","","Dublin","€500,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","36 WILLOW COURT, CLONDALKIN, DUBLIN","Dublin 22","Dublin","€290,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","36, 109 PARNELL ST, DUBLIN 1","Dublin 1","Dublin","€215,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","39 LAMBOURN AVE, CLONSILLA, DUBLIN 15","Dublin 15","Dublin","€365,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","39 WOOD DALE CRESCENT, BALLYCULLEN, DUBLIN 24","Dublin 24","Dublin","€445,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","49 MEADOW VALE, BLACKROCK, DUBLIN","","Dublin","€176,184.00","Yes","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","5 BARNWELL CLOSE, ONGAR, DUBLIN 15","Dublin 15","Dublin","€320,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","51 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15","Dublin 15","Dublin","€216,000.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","56 THE GROVE, HUNTERS RUN, CLONEE DUBLIN 15","Dublin 15","Dublin","€377,500.00","No","No","Second-Hand Dwelling house /Apartment",""
"04/01/2019","7 LATCHFORD GREEN, CASTAHEANEY, DUBLIN 15","Dublin 15","Dublin","€308,000.00","No","No","Second-Hand Dwelling house /Apartment",""
