,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
0,2019-01-01,"2 LEIX RD, CABRA, DUBLIN 7",Dublin 7,Dublin,30000.0,Yes,No,Second-Hand Dwelling house /Apartment,,-6.2836897,53.3616891,2,Leix Road,Cabra East,Dublin 7,County Dublin,D07 TC9C
1,2019-01-01,"2 WOODALE VIEW, BALLYCULLEN, FIRHOUSE DUBLIN 24",Dublin 24,Dublin,30000.0,Yes,No,Second-Hand Dwelling house /Apartment,,-6.3363792,53.2758091,2,Wood Dale View,,Baile Átha Cliath 24,County Dublin,D24 ACF9
2,2019-01-01,"APT 50, EARLSFIELD COURT, FRANCIS ST DUBLIN 8",Dublin 8,Dublin,15000.0,Yes,No,Second-Hand Dwelling house /Apartment,,-6.271268,53.3425185,,Nicholas Street,Wood Quay,Dublin 8,County Dublin,
3,2019-01-02,"3 Somerton Copse, Lucan",,Dublin,290750.0,No,Yes,New Dwelling house /Apartment,,-6.454777699999999,53.34310199999999,,Somerton Copse,Finnstown,,County Dublin,
4,2019-01-02,"31 ALL SAINTS PARK, RAHENY, DUBLIN 5",Dublin 5,Dublin,460000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.17845,53.376001,31,All Saints Park,Clontarf East,Dublin 5,County Dublin,D05 K067
5,2019-01-02,"40 THE COURTYARD, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,221500.0,No,No,Second-Hand Dwelling house /Apartment,,-6.4031338,53.381275,40,The Courtyard,Porterstown,,County Dublin,
6,2019-01-02,"407 CASEMENT RD, FINGLAS WEST, DUBLIN 11",Dublin 11,Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.306814999999999,53.3962857,407,Casement Road,Finglas North,Dublin 11,County Dublin,D11 X5K5
7,2019-01-02,"CRIMAND, ESKER LANE, BALLYDOWD",,Dublin,535000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.428384500000001,53.3587421,,Esker Lane,Ballydowd,,County Dublin,
8,2019-01-03,"1 Ardilaun Court, Sybil Hill Road, Raheny",Dublin 5,Dublin,414097.0,No,Yes,New Dwelling house /Apartment,,-6.194509600000001,53.3750391,5,Sybil Hill Road,Clontarf,,County Dublin,D05 XF22
9,2019-01-03,"15 ALMA RD, MONKSTOWN, DUBLIN",,Dublin,2500000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1664361,53.297317,15,Alma Road,Seapoint,,County Dublin,A94 T2H9
10,2019-01-03,"2 Rahillion Park, Donabate",,Dublin,383259.0,No,Yes,New Dwelling house /Apartment,,-6.1385726,53.4949318,2,Rahillion Park,Rahillion,,County Dublin,
11,2019-01-03,"22 Rathbourne Square, Ashtown, Dublin 15",Dublin 15,Dublin,335000.0,No,Yes,New Dwelling house /Apartment,,-6.3256573,53.3774509,22,Rathborne Drive,,,County Dublin,
12,2019-01-03,"22 Somerton Copse, Lucan",,Dublin,308369.81,No,Yes,New Dwelling house /Apartment,,-6.454777699999999,53.34310199999999,,Somerton Copse,Finnstown,,County Dublin,
13,2019-01-03,"23 ASHFORD ST, DUBLIN 7, DUBLIN",Dublin 7,Dublin,283000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.2926384,53.3536473,23,Ashford Street,,,County Dublin,D07 X2X4
14,2019-01-03,"23 LATCHFORD GREEN, CASTAHEANY, DUBLIN 15",Dublin 15,Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.4333335,53.3975787,23,Latchford Green,Castaheany,,County Dublin,D15 H5P8
15,2019-01-03,"23 SARSFIELD PARK, LUCAN, DUBLIN",,Dublin,327000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.4473302,53.357703,23,Sarsfield Park,Esker North,,County Dublin,K78 Y6H3
16,2019-01-03,"26 MILLERS AVENUE, MILLERS GLEN, SWORDS",,Dublin,293111.0,No,Yes,New Dwelling house /Apartment,,-6.2404505,53.47577829999999,26,Miller's Avenue,Oldtown,,County Dublin,
17,2019-01-03,"36 GEORGIAN HAMLET, BALDOYLE, DUBLIN 13",Dublin 13,Dublin,340000.0,No,No,Second-Hand Dwelling house /Apartment,,-6.1309409,53.3966176,36,Georgian Hamlet,Baldoyle,Dublin 13,County Dublin,D13 T9T3
