,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
0,01/01/2019,"2 LEIX RD, CABRA, DUBLIN 7",Dublin 7,Dublin,30000,Yes,No,Second-Hand Dwelling house /Apartment,,-6.2836897,53.3616891,2,Leix Road,Cabra East,Dublin 7,County Dublin,D07 TC9C
1,01/01/2019,"2 WOODALE VIEW, BALLYCULLEN, FIRHOUSE DUBLIN 24",Dublin 24,Dublin,30000,Yes,No,Second-Hand Dwelling house /Apartment,,-6.3363792,53.2758091,2,Wood Dale View,,Baile Átha Cliath 24,County Dublin,D24 ACF9
2,01/01/2019,"APT 50, EARLSFIELD COURT, FRANCIS ST DUBLIN 8",Dublin 8,Dublin,15000,Yes,No,Second-Hand Dwelling house /Apartment,,-6.271268,53.3425185,,Nicholas Street,Wood Quay,Dublin 8,County Dublin,
3,02/01/2019,"3 Somerton Copse, Lucan",,Dublin,290750,No,Yes,New Dwelling house /Apartment,,-6.4547777,53.343102,,Somerton Copse,Finnstown,,County Dublin,
4,02/01/2019,"31 ALL SAINTS PARK, RAHENY, DUBLIN 5",Dublin 5,Dublin,460000,No,No,Second-Hand Dwelling house /Apartment,,-6.17845,53.376001,31,All Saints Park,Clontarf East,Dublin 5,County Dublin,D05 K067
5,02/01/2019,"40 THE COURTYARD, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,221500,No,No,Second-Hand Dwelling house /Apartment,,-6.4031338,53.381275,40,The Courtyard,Porterstown,,County Dublin,
6,02/01/2019,"407 CASEMENT RD, FINGLAS WEST, DUBLIN 11",Dublin 11,Dublin,265000,No,No,Second-Hand Dwelling house /Apartment,,-6.306815,53.3962857,407,Casement Road,Finglas North,Dublin 11,County Dublin,D11 X5K5
7,02/01/2019,"CRIMAND, ESKER LANE, BALLYDOWD",,Dublin,535000,No,No,Second-Hand Dwelling house /Apartment,,-6.4283845,53.3587421,,Esker Lane,Ballydowd,,County Dublin,
8,03/01/2019,"1 Ardilaun Court, Sybil Hill Road, Raheny",Dublin 5,Dublin,414097,No,Yes,New Dwelling house /Apartment,,-6.1945096,53.3750391,5,Sybil Hill Road,Clontarf,,County Dublin,D05 XF22
9,03/01/2019,"15 ALMA RD, MONKSTOWN, DUBLIN",,Dublin,2500000,No,No,Second-Hand Dwelling house /Apartment,,-6.1664361,53.297317,15,Alma Road,Seapoint,,County Dublin,A94 T2H9
10,03/01/2019,"2 Rahillion Park, Donabate",,Dublin,383259,No,Yes,New Dwelling house /Apartment,,-6.1385726,53.4949318,2,Rahillion Park,Rahillion,,County Dublin,
11,03/01/2019,"22 Rathbourne Square, Ashtown, Dublin 15",Dublin 15,Dublin,335000,No,Yes,New Dwelling house /Apartment,,-6.3256573,53.3774509,22,Rathborne Drive,,,County Dublin,
12,03/01/2019,"22 Somerton Copse, Lucan",,Dublin,308369.81,No,Yes,New Dwelling house /Apartment,,-6.4547777,53.343102,,Somerton Copse,Finnstown,,County Dublin,
13,03/01/2019,"23 ASHFORD ST, DUBLIN 7, DUBLIN",Dublin 7,Dublin,283000,No,No,Second-Hand Dwelling house /Apartment,,-6.2926384,53.3536473,23,Ashford Street,,,County Dublin,D07 X2X4
14,03/01/2019,"23 LATCHFORD GREEN, CASTAHEANY, DUBLIN 15",Dublin 15,Dublin,285000,No,No,Second-Hand Dwelling house /Apartment,,-6.4333335,53.3975787,23,Latchford Green,Castaheany,,County Dublin,D15 H5P8
15,03/01/2019,"23 SARSFIELD PARK, LUCAN, DUBLIN",,Dublin,327000,No,No,Second-Hand Dwelling house /Apartment,,-6.4473302,53.357703,23,Sarsfield Park,Esker North,,County Dublin,K78 Y6H3
16,03/01/2019,"26 MILLERS AVENUE, MILLERS GLEN, SWORDS",,Dublin,293111,No,Yes,New Dwelling house /Apartment,,-6.2404505,53.4757783,26,Miller's Avenue,Oldtown,,County Dublin,
17,03/01/2019,"36 GEORGIAN HAMLET, BALDOYLE, DUBLIN 13",Dublin 13,Dublin,340000,No,No,Second-Hand Dwelling house /Apartment,,-6.1309409,53.3966176,36,Georgian Hamlet,Baldoyle,Dublin 13,County Dublin,D13 T9T3
18,03/01/2019,"37 EARLSFORT AVE, LUCAN, DUBLIN",,Dublin,276000,No,No,Second-Hand Dwelling house /Apartment,,-6.4158511,53.3443042,37,Earlsfort Avenue,Balgaddy,,County Dublin,K78 C996
19,03/01/2019,"44 Beechwood Gate, Beechwood, Hansfield",Dublin 15,Dublin,318722.47,No,Yes,New Dwelling house /Apartment,,-6.4482536,53.3929852,44,Beechwood Gate,Hansfield,,County Dublin,D15 DK2V
20,03/01/2019,"51 CEDAR SQ, THE CEDARS, RIDGEWOOD",,Dublin,279000,No,No,Second-Hand Dwelling house /Apartment,,-6.2469007,53.4492144,51,Cedar Square,Rathingle,,County Dublin,
21,03/01/2019,"62 SOUTHGATE APTS, CORK ST, DUBLIN 8",Dublin 8,Dublin,225000,No,No,Second-Hand Dwelling house /Apartment,,-6.2797282,53.3383511,8,Cork Street,,Dublin 8,County Dublin,
22,03/01/2019,"69 CARLINGFORD RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,470000,No,No,Second-Hand Dwelling house /Apartment,,-6.2605101,53.3668846,69,Carlingford Road,Botanic,Dublin 9,County Dublin,D09 E2Y3
23,03/01/2019,"Apartment 1, 17 The Meadow, Robswall",,Dublin,346667,No,Yes,New Dwelling house /Apartment,,-6.1368652,53.4427208,17,The Meadow,Robswalls,,County Dublin,
24,04/01/2019,"1 THE BRIDGE, MAIN ST, SHANKILL DUBLIN 18",Dublin 18,Dublin,285000,No,No,Second-Hand Dwelling house /Apartment,,-6.1094152,53.2032599,18,Main Street,Bray,,County Wicklow,A98 VK70
25,04/01/2019,"11 CORRYBEG, TEMPLEOGUE BRIDGE, DUBLIN 6W",,Dublin,1325000,No,No,Second-Hand Dwelling house /Apartment,,-6.3117316,53.2950735,11,Templeogue Road,Butterfield,Dublin 6W,County Dublin,D6W HX30
26,04/01/2019,"125 GLASNEVIN AVE, DUBLIN 11, DUBLIN",Dublin 11,Dublin,425000,No,No,Second-Hand Dwelling house /Apartment,,-6.2752805,53.3899584,125,Glasnevin Avenue,Glasnevin,Dublin 11,County Dublin,D11 V3W4
27,04/01/2019,"13 INGLEWOOD CLOSE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,200000,No,No,Second-Hand Dwelling house /Apartment,,-6.4118796,53.3894633,13,Inglewood Close,Clonsilla,,County Dublin,D15 NPN4
28,04/01/2019,"14 Millers Avenue, Millers Glen, Swords",,Dublin,306309,No,Yes,New Dwelling house /Apartment,,-6.2404505,53.4757783,14,Miller's Avenue,Oldtown,,County Dublin,
29,04/01/2019,"14 waterside green, waterside, swords road",,Dublin,308282,No,Yes,New Dwelling house /Apartment,,-6.200974,53.4505262,14,Waterside Green,Mountgorry,,County Dublin,
30,04/01/2019,"15 GLENAMUCK COTTAGES, CARRICKMINES, DUBLIN 18",Dublin 18,Dublin,440000,No,No,Second-Hand Dwelling house /Apartment,,-6.1829128,53.2437322,15,Glenamuck Cottages,,Dublin 18,County Dublin,D18 X2C6
31,04/01/2019,"169 CROSBIES YARD, OSSORY RD, EAST WALL DUBLIN 3",Dublin 3,Dublin,302000,No,No,Second-Hand Dwelling house /Apartment,,-6.241152,53.3554423,64,Ossory Road,,,County Dublin,
32,04/01/2019,"17 Fairway Drive, Cualanor, Upper Glenageary Road",,Dublin,713656,No,Yes,New Dwelling house /Apartment,,-6.1426919,53.2827277,,Glenageary Road Upper,Honeypark,,County Dublin,
33,04/01/2019,"17 TALBOT RD, MALAHIDE, DUBLIN",,Dublin,480000,No,No,Second-Hand Dwelling house /Apartment,,-6.1824729,53.4482974,17,Talbot Road,Yellow Walls,,County Dublin,K36 YR63
34,04/01/2019,"18 BROWNSBARN ORCHARD, KINGSWOOD CROSS, CITYWEST DUBLIN 22",Dublin 22,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,,-6.4207339,53.2984227,18,Brownsbarn Orchard,,Dublin 22,County Dublin,D22 YX28
35,04/01/2019,"18 Somerton Copse, Newcastle Road, Lucan",,Dublin,308370,No,Yes,New Dwelling house /Apartment,,-6.4556686,53.3445315,,Tandys Lane,Finnstown,,County Dublin,
36,04/01/2019,"23 Diswellstown Court, Castleknock",,Dublin,436123,No,Yes,New Dwelling house /Apartment,,-6.3840779,53.3672001,23,Diswellstown Court,Diswellstown,Dublin 15,County Dublin,
37,04/01/2019,"27 CARDY ROCK AVE, CARDY ROCK, BALBRIGGAN",,Dublin,235000,No,No,Second-Hand Dwelling house /Apartment,,-6.192211,53.6188072,27,Cardy Rock Avenue,Tankardstown,,County Dublin,K32 FX54
38,04/01/2019,"27 Parkside Gardens, Balgriffin, Dublin 13",,Dublin,251100,No,Yes,New Dwelling house /Apartment,,-6.163969,53.4079799,27,Parkside Boulevard,Donaghmede,Dublin 13,County Dublin,D13 ND9K
39,04/01/2019,"33 Royal Canal Avenue, Royal Canal Park, Rathoath Road",,Dublin,475770.92,No,Yes,New Dwelling house /Apartment,,-6.3110394,53.3753974,33,Royal Canal Avenue,,,County Dublin,D15 EY86
40,04/01/2019,"36 SELSKAR AVENUE, SKERRIES, CO DUBLIN",,Dublin,500000,No,No,Second-Hand Dwelling house /Apartment,,-6.1212242,53.5776127,36,Selskar Avenue,Townparks,,County Dublin,K34 CF84
41,04/01/2019,"36 WILLOW COURT, CLONDALKIN, DUBLIN",Dublin 22,Dublin,290000,No,No,Second-Hand Dwelling house /Apartment,,-6.4003243,53.3123557,36,Willow Court,Brideswell Commons,Dublin 22,County Dublin,D22 KP82
42,04/01/2019,"36, 109 PARNELL ST, DUBLIN 1",Dublin 1,Dublin,215000,No,No,Second-Hand Dwelling house /Apartment,,-6.2578683,53.3538064,109,Parnell Street,Rotunda,Dublin 1,County Dublin,
43,04/01/2019,"39 LAMBOURN AVE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,365000,No,No,Second-Hand Dwelling house /Apartment,,-6.4145214,53.3823464,39,Lambourn Avenue,Clonsilla,,County Dublin,D15 KFW3
44,04/01/2019,"39 WOOD DALE CRESCENT, BALLYCULLEN, DUBLIN 24",Dublin 24,Dublin,445000,No,No,Second-Hand Dwelling house /Apartment,,-6.3365736,53.2744108,39,Wood Dale Drive,,Dublin 24,County Dublin,D24 DFR3
45,04/01/2019,"49 MEADOW VALE, BLACKROCK, DUBLIN",,Dublin,176184,Yes,No,Second-Hand Dwelling house /Apartment,,-6.1588699,53.2727763,49,Meadow Vale,Woodpark,,County Dublin,A94 PY73
46,04/01/2019,"5 BARNWELL CLOSE, ONGAR, DUBLIN 15",Dublin 15,Dublin,320000,No,No,Second-Hand Dwelling house /Apartment,,-6.439654,53.395805,,,Hansfield,,County Dublin,
47,04/01/2019,"51 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,216000,No,No,Second-Hand Dwelling house /Apartment,,-6.3932206,53.3879699,,Snugborough Road,,Dublin 15,County Dublin,
48,04/01/2019,"56 THE GROVE, HUNTERS RUN, CLONEE DUBLIN 15",Dublin 15,Dublin,377500,No,No,Second-Hand Dwelling house /Apartment,,-6.4249643,53.403397,56,The Grove,,,County Dublin,D15 X970
49,04/01/2019,"7 LATCHFORD GREEN, CASTAHEANEY, DUBLIN 15",Dublin 15,Dublin,308000,No,No,Second-Hand Dwelling house /Apartment,,-6.4328136,53.3978554,7,Latchford Green,Castaheany,,County Dublin,D15 N9T7
50,04/01/2019,"7 RIVERSDALE RD, CLONDALKIN DUBLIN 22, DUBLIN",Dublin 22,Dublin,270000,No,No,Second-Hand Dwelling house /Apartment,,-6.3915754,53.3251907,7,Riversdale Road,Clondalkin,Dublin 22,County Dublin,D22 KW59
51,04/01/2019,"74 FITZWILLIAM POINT, FITZWILLIAM QUAY, RINGSEND DUBLIN 4",Dublin 4,Dublin,351000,No,No,Second-Hand Dwelling house /Apartment,,-6.2271866,53.3410885,,Fitzwilliam Quay,,Dublin 4,County Dublin,
52,04/01/2019,"9 ANNADALE AVE, FAIRVIEW, DUBLIN 3",Dublin 3,Dublin,330000,No,No,Second-Hand Dwelling house /Apartment,,-6.2409961,53.3666997,9,Annadale Avenue,Ballybough,Dublin 3,County Dublin,D03 W1X7
53,04/01/2019,"EDENDALE, CLOUGHRAN, CO DUBLIN",,Dublin,400000,Yes,No,Second-Hand Dwelling house /Apartment,,-6.216349,53.417258,,,Cloghran,Swords,County Dublin,
54,06/01/2019,"2 CARRIGMORE OAK, CITYWEST, SAGGART",Dublin 24,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,,-6.4319606,53.2831218,2,Carrigmore Oak,Fortunestown,,County Dublin,D24 V123
55,07/01/2019,"10 THE CASINO, DUBLIN RD, MALAHIDE",,Dublin,355000,No,No,Second-Hand Dwelling house /Apartment,,-6.1542549,53.4526778,,An Faiche,Malahide,,County Dublin,
56,07/01/2019,"103 MARLAY VIEW, BALLINTEER AVE, DUBLIN 16",Dublin 16,Dublin,340000,No,No,Second-Hand Dwelling house /Apartment,,-6.2587806,53.2739248,,Ballinteer Avenue,Ballinteer,Dublin 16,County Dublin,
57,07/01/2019,"12 HERBERT COTTAGES, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,463500,No,No,Second-Hand Dwelling house /Apartment,,-6.2288955,53.3308728,12,Herbert Cottages,,,County Dublin,D04 A3T3
58,07/01/2019,"13 DUN SAITHNE VIEW, FLEMINGTON LANE, BALBRIGGAN",,Dublin,160000,No,No,Second-Hand Dwelling house /Apartment,,-6.2042506,53.6174995,13,Dún Saithne View,Bremore,,County Dublin,K32 W267
59,07/01/2019,"146 MERIDIAN COURT, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",Dublin 7,Dublin,325000,No,No,Second-Hand Dwelling house /Apartment,,-6.3110887,53.37684,,Spindrift Avenue,,Dublin 15,County Dublin,
60,07/01/2019,"15 CEOL NA MARA, RUSH, DUBLIN",,Dublin,196000,No,No,Second-Hand Dwelling house /Apartment,,-6.0858903,53.5230421,15,Ceol na Mara,Rush,,County Dublin,
61,07/01/2019,"173 CORRIB RD, TERENURE, DUBLIN 6W",,Dublin,495000,No,No,Second-Hand Dwelling house /Apartment,,-6.2874044,53.3133726,173,Corrib Road,,Dublin 6W,County Dublin,D6W HP73
62,07/01/2019,"18  Beechwood Heath, Beechwood, Hansfioeld",,Dublin,321585,No,Yes,New Dwelling house /Apartment,,-6.4472004,53.3930144,,Beechwood Gate,Hansfield,,County Dublin,
63,07/01/2019,"23 Beechwood Heath, Beechwood, Hansfield",Dublin 15,Dublin,317181,No,Yes,New Dwelling house /Apartment,,-6.4472004,53.3930144,,Beechwood Gate,Hansfield,,County Dublin,
64,07/01/2019,"23 THE KILNS, STATION RD, PORTMARNOCK",Dublin 13,Dublin,243000,No,No,Second-Hand Dwelling house /Apartment,,-6.1502519,53.4193726,58,Station Road,Portmarnock,Portmarnock,County Dublin,
