Roll Number,schoolName,Principal Name,Ethos Description,Female,Male,Total,latitude,longitude,Type
00697S,ST BRIGIDS MXD N S,Denis Courtney,Catholic,447,502.0,949,53.375855,-6.361625,Primary School
00714P,LUCAN B N S,Dara Burke,Catholic,0,513.0,513,53.360019,-6.4388757,Primary School
00729F,CLOCHAR LORETO N S,Sr. Maria Hyland,Catholic,501,0.0,501,53.2953171,-6.2825391,Primary School
00752A,CENTRAL SENIOR MXD N S,Deirdre Gartland,Catholic,133,143.0,276,53.3493141,-6.2576704,Primary School
01170G,S N NA H-AILLE,Edel McMahon,Catholic,67,72.0,139,53.579286100000004,-6.299280855181822,Primary School
01795A,CENTRAL INFS SCHOOL,Catherine Groves,Catholic,84,77.0,161,53.3493141,-6.2576704,Primary School
02872U,St. Mary's National School,Fergus Lyons,Catholic,124,141.0,265,53.2651104,-6.2293428,Primary School
03359N,BALLYROAN B N S,Desmond Morris,Catholic,0,401.0,401,53.2937589,-6.3088713,Primary School
03917V,NAOMH PADRAIG BOYS,Ian Lane,Catholic,0,137.0,137,53.3427446,-6.2271542,Primary School
04992R,SCOIL AN CROI NAOFA,Dermot Murphy,Catholic,0,457.0,457,53.3899343,-6.2923206,Primary School
05600C,CLOCHAR SAN DOMINIC,Peter Mooney,Catholic,122,100.0,222,53.2923349,-6.1375362,Primary School
05933G,PRESENTATION PRIMARY SCHOOL,Marie Berkery,Catholic,93,35.0,128,32.561441,-82.869056,Primary School
06200O,BOOTERSTOWN BOYS,Robert O'Connor,Catholic,0,307.0,307,53.3086482,-6.1976331,Primary School
07546J,GOLDENBRIDGE CONVENT,Tonya Hanly,Catholic,109,126.0,235,53.335840899999994,-6.317826568579626,Primary School
09492W,BALSCADDEN N S,Christopher White,Catholic,108,112.0,220,53.5806486,-6.226608894023499,Primary School
09642P,BURROW N S,Lynn Harley,Church Of Ireland,109,106.0,215,53.38949005,-6.105209912364929,Primary School
09750S,ST JOSEPHS BOYS N S,Anne McCabe,Catholic,0,445.0,445,53.3104779,-6.2900213,Primary School
09932B,STANHOPE ST CONVENT,Doretta Carey (Acting),Catholic,240,97.0,337,53.3524537,-6.2836691,Primary School
10296G,SCOIL NAOMH MEARNOG,Sinéad Trimble,Catholic,288,342.0,630,53.4321555,-6.1245178,Primary School
10494K,ALL SAINTS N S,Sandra Byron,Church Of Ireland,25,30.0,55,53.2911887,-6.1802875,Primary School
10653E,CHAPELIZOD N S,Máirín O'Shea (Acting Principal),Church Of Ireland,13,14.0,27,53.351643,-6.3477933,Primary School
11525A,ST PATRICKS N SCHOOL,Natasha Bassett (Acting Principal),Catholic,3,492.0,495,53.3694972,-6.2569284,Primary School
11578V,CITY QUAY NS,Richie Hoban,Catholic,81,74.0,155,53.34667785,-6.251276463460509,Primary School
11583O,ST ANDREWS N S,Lesley McElhinney,Church Of Ireland,94,129.0,223,53.4477287,-6.1529765,Primary School
11638N,WHITECHURCH NAT SCHOOL,Sarah Richards,Church Of Ireland,99,114.0,213,53.2666958,-6.2802863,Primary School
11873A,RATHMICHAEL N S,Caroline Senior,Church Of Ireland,108,110.0,218,53.22247005,-6.144067952558318,Primary School
11894I,SCOIL MHUIRE,Donncha Cleary,Catholic,278,0.0,278,53.3295751,-6.2151828,Primary School
12014D,ST ANDREWS N S,Julie Ann Chapman,Church Of Ireland,184,239.0,423,53.362685600000006,-6.437498403094422,Primary School
12358M,SWORDS BOROUGH N S,Anne Marie Woods,Church Of Ireland,53,53.0,106,53.4592852,-6.2230472,Primary School
12448N,GARDINER STREET CONVENT,Eileen O'Doherty,Catholic,210,197.0,407,42.5682337,-71.9942703,Primary School
12755W,KILDARE PLACE N S,Ian Packham,Church Of Ireland,102,104.0,206,1.0,1.0,Primary School
13217W,HOLY FAMILY NATIONAL SCHOOL,Colm Byrne,Catholic,336,372.0,708,53.2813003,-6.4679425,Primary School
13447Q,SCOIL MHUIRE,Mary Davin,Catholic,638,0.0,638,53.35920335,-6.389814015862786,Primary School
13611D,PRESENTATION PRIMARY SCHOOL,Grainne Noone,Catholic,131,60.0,191,53.3356799,-6.2764474831748664,Primary School
13612F,PRESENTATION PRIMARY SCHOOL,Carmel Hume,Catholic,582,0.0,582,53.309290649999994,-6.288505232220945,Primary School
13815T,HOWTH RD MXD N S,Martha Woolmington,Presbyterian,50,48.0,98,53.3629491,-6.2272787,Primary School
14180H,HOLMPATRICK N S,Deirdre MacLean,Church Of Ireland,39,41.0,80,53.5796375,-6.1087501,Primary School
14463T,ST COLUMBAS N S MXD,Ann Creaner,Church Of Ireland,49,75.0,124,53.3615941,-6.2426176,Primary School
14556D,ST ENDAS PRIMARY SCHOOL,Mary Marren,Catholic,57,67.0,124,53.3396005,-6.2671743,Primary School
14586M,CARYSFORT NS,Norma Linehan,Catholic,299,297.0,596,53.2973924,-6.1819795,Primary School
14647G,DALKEY N S (2),Jennifer Kirwan,Church Of Ireland,52,47.0,99,53.2852087,-6.1092113,Primary School
14717B,RATHGAR N S,Ivan Pearson,Methodist,42,49.0,91,53.310861700000004,-6.250068576632422,Primary School
14917J,ZION PARISH PRIMARY SCHOOL,Tom Conaty,Church Of Ireland,43,50.0,93,53.315941550000005,-6.382836669116883,Primary School
14939T,RATHFARNHAM PARISH N S,Joyce Perdue,Church Of Ireland,102,125.0,227,53.2924515,-6.3028473,Primary School
14980Q,GLASNEVIN N S,Olive Walsh,Church Of Ireland,38,46.0,84,53.3708165,-6.2640317,Primary School
15056L,S N SAN VINSEANN CAILIN,Margaret O'Connor,Catholic,244,0.0,244,53.349996149999996,-6.26475150294275,Primary School
15132B,HAROLD BOYS N S,Teresa Buckley,Catholic,0,132.0,132,53.2781287,-6.103428,Primary School
15253N,ST PATRICKS GIRLS NS,Anne Smith,Catholic,162,0.0,162,53.3427446,-6.2271542,Primary School
15284B,TANEY N S,Elizabeth Carpenter,Church Of Ireland,195,239.0,434,53.288226800000004,-6.238895541137834,Primary School
15315J,ST GEORGES N S,Elaine Browne,Church Of Ireland,183,208.0,391,53.6048073,-6.1983505,Primary School
15569R,SCOIL MOIBHI,Maria Lynam,Catholic,36,46.0,82,53.568139,-6.122334843250278,Primary School
15618E,SANDFORD PARISH NATIONAL SCHOOL,Senan Murray,Church Of Ireland,118,113.0,231,53.3199796,-6.2486778,Primary School
15622S,ST PATRICKS NS,Kieran Tierney,Catholic,95,117.0,212,53.3529834,-6.3602825,Primary School
15625B,ST CATHERINES WEST N S,Karen Jordan,Church Of Ireland,110,96.0,206,53.331328,-6.2823673,Primary School
15650A,CORDUFF N S,Carola Reynolds,Catholic,56,41.0,97,53.53311825,-6.184722456975215,Primary School
15816I,ST VINCENTS INF BOYS,Patrick Courtney,Catholic,0,107.0,107,53.349996149999996,-6.26475150294275,Primary School
15895H,DRUMCONDRA N S,Kate Gleeson,Church Of Ireland,27,31.0,58,53.37117739999999,-6.2484877168652195,Primary School
15995L,Star of the Sea,Niall Walsh,Catholic,0,325.0,325,53.335287,-6.2195536,Primary School
16177F,LINDSAY ROAD N S,Stacey Allen,Presbyterian,37,54.0,91,53.3649064,-6.2647678,Primary School
