,Luas_quantity,Bus_quantity,Train_quantity,PS_quantity,SS_quantity,Garda_quantity,Price,VAT_exclusive,Longitude,Latitude,New_Dwelling_House_Apartment,Second_Hand_Dwelling_House_Apartment
4,0,33,0,1,0,0,830000.0,0,-6.1818919,53.3651392,0,1
8,0,32,0,1,0,0,360000.0,0,-6.181404799999999,53.3627098,0,1
9,0,36,0,1,0,0,630000.0,0,-6.1830869,53.3627174,0,1
14,0,53,1,7,2,0,260000.0,0,-6.2538290000000005,53.370047,0,1
15,0,62,1,7,4,0,375000.0,0,-6.238055999999999,53.3653556,0,1
16,0,15,0,1,0,0,575000.0,0,-6.1388431,53.4439142,0,1
17,0,37,2,1,1,0,292000.0,0,-6.207407900000001,53.3138802,0,1
18,0,24,1,0,1,0,255507.0,1,-6.1574724000000005,53.407059100000005,1,0
19,0,48,2,4,1,1,452000.0,0,-6.2251705,53.33942170000001,0,1
20,0,74,0,4,3,0,260000.0,0,-6.2135815,53.29208520000001,0,1
21,17,319,2,7,3,3,206000.0,0,-6.2581547,53.3515035,0,1
22,0,95,0,5,2,0,199000.0,0,-6.2899846,53.38192239999999,0,1
23,0,5,0,1,1,0,256000.0,0,-6.0812098,53.5198213,0,1
24,0,26,0,3,1,0,310000.0,0,-6.4266349,53.349103500000005,0,1
25,0,65,0,4,2,1,355000.0,0,-6.269349,53.38734920000001,0,1
26,0,178,2,1,3,0,400000.0,0,-6.2444981,53.3357524,0,1
28,8,184,0,3,3,0,1200000.0,0,-6.2555698,53.334436100000005,0,1
29,0,28,1,0,1,0,290000.0,1,-6.1567266,53.4066578,1,0
30,2,45,0,0,2,0,612000.0,0,-6.2389755,53.303229,0,1
31,3,80,0,7,2,0,450000.0,0,-6.2803674,53.36584739999999,0,1
32,0,45,0,2,2,1,337500.0,0,-6.2421585,53.3930703,0,1
33,0,50,0,3,3,1,357500.0,0,-6.2879933,53.2938326,0,1
34,0,32,1,3,1,0,161000.0,0,-6.3784372000000005,53.3385898,0,1
35,0,28,0,4,3,0,258000.0,0,-6.4263231,53.34238199999999,0,1
36,4,49,0,2,1,0,625000.0,0,-6.2272638,53.2820703,0,1
37,0,77,2,2,3,1,1150000.0,0,-6.2244133,53.3263249,0,1
38,0,37,2,1,1,0,100000.0,0,-6.207407900000001,53.3138802,0,1
39,0,37,2,1,1,0,100000.0,0,-6.207407900000001,53.3138802,0,1
40,0,50,2,2,0,1,222500.0,0,-6.142067099999999,53.29322020000001,0,1
41,0,20,0,2,0,0,210000.0,0,-6.3864203,53.4184464,0,1
43,0,49,0,7,1,0,140000.0,0,-6.3923336,53.2818792,0,1
44,0,55,0,1,2,0,915000.0,0,-6.2679445,53.31152289999999,0,1
45,0,18,0,1,1,0,210000.0,0,-6.115001599999999,53.4944076,0,1
46,0,16,0,3,1,0,405000.0,1,-6.3441775,53.2688292,1,0
47,0,16,1,1,1,0,286343.61,1,-6.1101504,53.5689993,1,0
48,0,21,0,2,1,1,735000.0,0,-6.4505822,53.3636216,0,1
49,0,26,0,4,0,0,450000.0,0,-6.1790223,53.3657122,0,1
50,4,42,0,3,2,0,1050000.0,0,-6.2587112000000005,53.30967679999999,0,1
51,0,35,0,0,0,0,320000.0,0,-6.116422200000001,53.2119514,0,1
52,0,19,0,3,1,0,285859.03,1,-6.3421197,53.26957629999999,1,0
53,0,61,0,1,2,0,466000.0,0,-6.224623,53.3037674,0,1
54,6,32,0,1,1,0,243000.0,0,-6.143548,53.2467729,0,1
